file,reason
tiKv850hJFTmpCAvfJOmOOqkeUs1/vowel-e.wav,digital silence
tiKv850hJFTmpCAvfJOmOOqkeUs1/vowel-o.wav,digital silence
TRK6gUseEUS7dbF0soG80W1uLm53/breathing-deep.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/breathing-shallow.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/cough-heavy.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/cough-shallow.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/counting-fast.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/counting-normal.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/vowel-a.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/vowel-e.wav,RuntimeError: ffmpeg produced no samples
TRK6gUseEUS7dbF0soG80W1uLm53/vowel-o.wav,RuntimeError: ffmpeg produced no samples
U98J2q0NnycYzzUS2BYZpUa55X83/breathing-deep.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/cough-heavy.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/cough-shallow.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/counting-fast.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/counting-normal.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/vowel-a.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/vowel-e.wav,digital silence
U98J2q0NnycYzzUS2BYZpUa55X83/vowel-o.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/breathing-deep.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/breathing-shallow.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/cough-heavy.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/cough-shallow.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/counting-fast.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/vowel-a.wav,digital silence
UiUUhL0PMjWVA6W2dKte1DCE6wG2/vowel-e.wav,digital silence
VcmjCfW6ddgE9lFhDXTO6hDlb452/counting-fast.wav,RuntimeError: ffmpeg produced no samples
zvXkuEaPb0OEgG4EHx59NqdmamR2/breathing-deep.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/cough-heavy.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/cough-shallow.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/counting-fast.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/counting-normal.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/vowel-a.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/vowel-e.wav,digital silence
zvXkuEaPb0OEgG4EHx59NqdmamR2/vowel-o.wav,digital silence
